Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
-0.202484130859375,6.14946798447409,-1.029052734375E-08,-0.202178955078125,1,1,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.204925537109375,6.17388198441245,-1.12091064453125E-08,-0.20465087890625,1,2,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.207366943359375,6.19829598435081,-1.22467041015625E-08,-0.20703125,1,3,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.209808349609375,6.22270998428917,-1.2939453125E-08,-0.20953369140625,1,4,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.212249755859375,6.24712398422753,-1.34307861328125E-08,-0.211944580078125,1,5,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.214691162109375,6.27153798416589,-1.4019775390625E-08,-0.214385986328125,1,6,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.217132568359375,6.29595198410425,-1.485595703125E-08,-0.216796875,1,7,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.219573974609375,6.32036598404261,-1.534423828125E-08,-0.219207763671875,1,8,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.222015380859375,6.34477998398097,-1.58416748046875E-08,-0.221710205078125,1,9,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.224456787109375,6.36919398391933,-1.62353515625E-08,-0.224090576171875,1,10,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.226898193359375,6.39360798385769,-1.68701171875E-08,-0.22662353515625,1,11,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.229339599609375,6.41802198379605,-1.73309326171875E-08,-0.22906494140625,1,12,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.231781005859375,6.44243598373441,-1.796875E-08,-0.231475830078125,1,13,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.234222412109375,6.46684998367277,-1.84814453125E-08,-0.233917236328125,1,14,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.236663818359375,6.49126398361113,-1.8841552734375E-08,-0.23638916015625,1,15,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.239105224609375,6.51567798354949,-1.964111328125E-08,-0.23876953125,1,16,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.241546630859375,6.54009198348786,-2.0001220703125E-08,-0.24127197265625,1,17,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.243988037109375,6.56450598342622,-2.0465087890625E-08,-0.24365234375,1,18,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.246429443359375,6.58891998336458,-2.098388671875E-08,-0.246063232421875,1,19,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.248870849609375,6.61333398330294,-2.14813232421875E-08,-0.248565673828125,1,20,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.251312255859375,6.6377479832413,-2.191162109375E-08,-0.2509765625,1,21,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.253753662109375,6.66216198317966,-2.2576904296875E-08,-0.25341796875,1,22,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.256195068359375,6.68657598311802,-2.2955322265625E-08,-0.255828857421875,1,23,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.258636474609375,6.71098998305638,-2.35931396484375E-08,-0.25830078125,1,24,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.261077880859375,6.73540398299474,-2.42645263671875E-08,-0.26068115234375,1,25,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.263519287109375,6.7598179829331,-2.46826171875E-08,-0.263214111328125,1,26,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.265960693359375,6.78423198287146,-2.53326416015625E-08,-0.26556396484375,1,27,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.268402099609375,6.80864598280982,-2.59765625E-08,-0.26806640625,1,28,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.270843505859375,6.83305998274818,-2.666015625E-08,-0.2705078125,1,29,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.273284912109375,6.85747398268654,-2.72918701171875E-08,-0.27294921875,1,30,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.275726318359375,6.8818879826249,-2.794189453125E-08,-0.275360107421875,1,31,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.278167724609375,6.90630198256326,-2.85736083984375E-08,-0.27783203125,1,32,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.280609130859375,6.93071598250162,-2.9339599609375E-08,-0.280242919921875,1,33,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.283050537109375,6.95512998243998,-3.0096435546875E-08,-0.282684326171875,1,34,3.37013900279999E-08,-2.40040168166161E-07,100 nA
-0.285491943359375,6.97954398237835,-3.08929443359375E-08,-0.28515625,1,35,3.37013900279999E-08,-2.40040168166161E-07,100 nA
