Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
-0.202484130859375,6.12291598454112,-7.66601562499999E-10,-0.202178955078125,1,1,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.204925537109375,6.14732998447948,-1.28570556640625E-09,-0.204620361328125,1,2,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.207366943359375,6.17174398441784,-1.3031005859375E-09,-0.20709228515625,1,3,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.209808349609375,6.1961579843562,-1.60919189453125E-09,-0.209564208984375,1,4,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.212249755859375,6.22057198429457,-1.826171875E-09,-0.21197509765625,1,5,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.214691162109375,6.24498598423293,-1.98944091796875E-09,-0.214447021484375,1,6,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.217132568359375,6.26939998417129,-2.423095703125E-09,-0.21685791015625,1,7,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.219573974609375,6.29381398410965,-2.178955078125E-09,-0.21929931640625,1,8,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.222015380859375,6.31822798404801,-2.362060546875E-09,-0.221710205078125,1,9,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.224456787109375,6.34264198398637,-2.80426025390625E-09,-0.22418212890625,1,10,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.226898193359375,6.36705598392473,-2.647705078125E-09,-0.22662353515625,1,11,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.229339599609375,6.39146998386309,-2.789306640625E-09,-0.229034423828125,1,12,2.20064595341682E-08,-4.86866682767868E-08,100 nA
-0.231781005859375,6.41588398380145,-3.01513671875E-09,-0.23150634765625,1,13,2.20064595341682E-08,-4.86866682767868E-08,100 nA
